event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2013-07-14 00:00:00,"Rapti Highway, Rukum District, Midwestern Region",28.6202,82.4393,landslide,medium,unknown,0,0
2013-07-17 00:00:00,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885,mudslide,medium,rain,0,0
2013-07-21 00:00:00,"Pamutan, Cebu City",10.329,123.888,landslide,medium,rain,0,0
2017-06-13 15:17:00,"Chittagong, Bangladesh",22.35037081,91.83258101,landslide,large,continuous_rain,33,0
2013-10-09 00:00:00,Kitzbühel,47.446,12.3966,landslide,medium,rain,1,1
2015-05-17 00:00:00,Anexa Miramar,32.5196,-117.0898,landslide,medium,rain,0,0
2016-09-10 18:52:00,Pacitan's Kebonagung District in East Java,-8.034706,112.61191,landslide,large,downpour,0,0
2016-09-06 18:52:00,Paintedanda near Kharanephant in Lekhnath Municipality-4 of Kaski district,28.145796,84.069015,landslide,large,rain,4,2
2017-06-30 16:00:00,"Lebak Kantik village (??), Bogor, West Java, Indonesia",-6.522155904,106.7121322,landslide,medium,continuous_rain,0,0
2017-07-01 16:00:00,"Wokha Sadar Sub-District, Wokha, Nagaland",26.1445447,94.24416766,landslide,small,downpour,0,0
2017-07-05 19:39:00,"Ukhia Upazila, Bangladesh",21.23699085,92.10434768,landslide,medium,continuous_rain,1,0
2017-07-03 15:17:00,"Panikhaiti, Kamrup Metropolitan, Assam State, India",26.20450454,91.87202793,landslide,medium,continuous_rain,1,0
2016-09-04 18:04:00,Afritz am See,46.726906,13.787332,landslide,large,dam_embankment_collapse,0,0
2017-07-02 15:17:00,"Deppochhari (??), Rangamati Hill District, Bangladesh",22.77997113,92.03513581,landslide,small,continuous_rain,0,0
2017-07-04 16:00:00,"Narrows trail, Zion National Park, Utah, USA",37.29584217,-112.9476039,rock_fall,small,no_apparent_trigger,0,1
2016-09-02 18:04:00,"Taplejung, Nepal",27.513641,87.640957,landslide,large,rain,4,10
2017-07-04 16:00:00,"AH1, Mao-Maram, Senapati, Manipur, 795150",25.4976444,94.12901274,landslide,small,continuous_rain,0,0
2017-07-03 14:33:00,"Huyện Mèo Vạc, Hà Giang Province, Vietnam",23.16100191,105.4244893,landslide,medium,downpour,2,0
2016-09-04 04:00:00,Pasang Lhamu Highway,27.833565,85.201673,landslide,large,downpour,0,0
2017-07-03 18:04:00,"Bhojpur, Kulung, Nepal",27.167781,87.055222,landslide,medium,unknown,2,0
2017-07-03 16:00:00,"Chandrapur, Kamrup Metropolitan, Assam",26.22247247,91.92053028,landslide,medium,continuous_rain,1,0
2016-09-04 18:04:00,"Bhagawati, Myagdi, Nepal",28.377188,83.498645,landslide,medium,rain,0,0
2017-07-03 14:33:00,"Jorabat, Assam State, India",26.1061808,91.85158907,landslide,small,downpour,0,0
2017-07-03 14:33:00,"Sonapur, Kamrup Metropolitan, Assam",26.10430759,91.86227824,landslide,small,downpour,0,0
2017-06-13 15:17:00,"Rangamati Hill District, Bangladesh",22.74955141,92.22099982,landslide,large,continuous_rain,105,0
2017-07-03 14:33:00,"National Road 34, Huyện Bắc Mê, Hà Giang",22.77992936,105.1593663,landslide,small,downpour,0,0
2016-09-07 18:04:00,Y:14.521881 X:-90.604924,14.521881,-90.604924,landslide,large,rain,11,0
2017-06-29 14:33:00,"Finleyville Airport, Finleyville, Pennsylvania, USA",40.24298211,-80.00630324,landslide,small,no_apparent_trigger,0,0
2017-06-13 18:48:00,,22.80452414,91.91261915,landslide,medium,downpour,2,0
2016-09-06 18:04:00,Y:6.602220 X:3.351692,6.60222,3.351692,mudslide,medium,rain,2,0
2016-09-02 18:04:00,"Manihar Village, Kullu, India",31.956546,77.109719,landslide,large,unknown,4,5
2016-09-08 18:04:00,"Mohmand Agency, Pakistan",34.525881,71.398496,landslide,small,rain,3,0
2017-07-02 19:39:00,"Bhotekoshi Rural Municpality, Sindhupalchok District, Nepal",27.90362599,85.91050294,landslide,small,rain,0,0
